,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
175,Utah,Duchesne,7970114.0
176,Texas,San Augustine,7920702.0
177,Wyoming,Fremont,7903768.0
178,California,Fresno,7895954.0
179,Texas,Hood,7833005.0
180,Texas,Hutchinson,7624911.0
181,Montana,Stillwater,7592025.0
182,Texas,Fayette,7562274.0
183,Louisiana,Jefferson Davis,7524756.0
184,California,Contra Costa,7510031.0
185,Texas,Cooke,7435927.0
186,Texas,Borden,7342165.0
187,Kentucky,Harlan,7303631.0
188,Oklahoma,Woodward,7248865.0
189,Montana,Rosebud,7181177.0
190,Alaska,Kenai Peninsula,7143664.0
191,Nevada,Nye,7023450.0
192,Texas,Terrell,6984905.0
193,Illinois,Saline,6965993.0
194,Texas,Kenedy,6838271.0
195,Texas,Zavala,6821764.0
196,Texas,Jack,6817338.0
197,Georgia,Wilkinson,6783629.0
198,West Virginia,Wyoming,6763942.0
199,Texas,Chambers,6744339.0
200,West Virginia,Monongalia,6731432.0
201,Kentucky,Union,6706564.0
202,Texas,Matagorda,6663257.0
203,Indiana,Gibson,6567192.0
204,Louisiana,Calcasieu,6548425.0
205,Kentucky,Hopkins,6456459.0
206,Louisiana,St. Mary,6442627.0
207,Montana,Richland,6438669.0
208,Colorado,Arapahoe,6394217.0
209,Colorado,Gunnison,6335549.0
210,Texas,Cochran,6227911.0
211,Louisiana,Pointe Coupee,6194969.0
212,West Virginia,Wetzel,6186810.0
213,Texas,Lee,6170428.0
214,Texas,Moore,6157326.0
215,Alaska,Southeast Fairbanks,6142453.0
216,Texas,Stephens,6100319.0
217,West Virginia,McDowell,6093321.0
218,Pennsylvania,Armstrong,6084936.0
219,Texas,Upshur,6058506.0
220,Texas,Mitchell,6055435.0
221,Ohio,Carroll,6014254.0
222,Texas,Garza,5959198.0
223,Texas,Wichita,5958779.0
224,Texas,Gray,5893161.0
225,Colorado,Las Animas,5830038.0
226,Nevada,White Pine,5784908.0
227,Oklahoma,Garvin,5736055.0
228,Wyoming,Uinta,5728435.0
229,Texas,Galveston,5627559.0
230,California,San Joaquin,5624136.0
231,Louisiana,Jackson,5604767.0
232,California,Orange,5540804.0
233,New Mexico,McKinley,5514418.0
234,Colorado,Moffat,5510541.0
235,Louisiana,Webster,5501922.0
236,Kentucky,Knott,5500799.0
237,Texas,Bee,5499745.0
238,Wyoming,Johnson,5463617.0
239,Texas,Madison,5441269.0
240,California,San Bernardino,5431592.0
241,Arizona,Navajo,5375335.0
242,Colorado,Routt,5314914.0
243,Louisiana,Lincoln,5312001.0
244,Texas,Goliad,5283466.0
245,Oklahoma,Custer,5282968.0
246,Texas,Washington,5238322.0
247,North Dakota,Mercer,5226889.0
248,Colorado,Clear Creek,5198393.0
249,Oklahoma,Woods,5169170.0
250,Texas,Polk,5128402.0
251,Louisiana,Claiborne,5109700.0
252,Utah,Sevier,5104282.0
253,Pennsylvania,Tioga,5056380.0
254,Texas,Henderson,5014656.0
255,Texas,San Patricio,4943765.0
256,Wyoming,Lincoln,4936880.0
257,Idaho,Shoshone,4910764.0
258,Louisiana,St. Tammany,4770595.0
259,Texas,Potter,4770013.0
260,Kentucky,Letcher,4749938.0
261,Pennsylvania,Somerset,4735175.0
262,Mississippi,Jones,4694754.0
263,Virginia,Dickenson,4684227.0
264,Pennsylvania,Butler,4667222.0
265,Pennsylvania,Westmoreland,4663656.0
266,Pennsylvania,Wyoming,4625353.0
267,North Carolina,Wake,4539090.0
268,Missouri,Iron,4537964.0
269,West Virginia,Ohio,4512249.0
270,Texas,Collin,4508617.0
271,Pennsylvania,Fayette,4489102.0
272,Arkansas,Sebastian,4486010.0
273,Louisiana,East Baton Rouge,4462017.0
274,Kentucky,Martin,4460611.0
275,Mississippi,Rankin,4406969.0
276,Texas,Hardin,4371914.0
277,Texas,Kleberg,4343947.0
278,Arkansas,White,4330365.0
279,Oklahoma,Kingfisher,4304991.0
280,Alabama,Mobile,4295420.0
281,Wyoming,Carbon,4259638.0
282,West Virginia,Fayette,4253830.0
283,Texas,Tom Green,4252685.0
284,Ohio,Guernsey,4243736.0
285,Kentucky,Muhlenberg,4237950.0
286,Texas,Jackson,4174374.0
287,Texas,Anderson,4127168.0
288,Tennessee,Davidson,4125969.0
289,Texas,Taylor,4109960.0
290,Wyoming,Park,4091324.0
291,Texas,Young,4081968.0
292,Texas,Palo Pinto,3967470.0
293,West Virginia,Ritchie,3965834.0
294,Kentucky,Webster,3963955.0
295,Florida,Miami-Dade,3951242.0
296,Illinois,Cook,3922266.0
297,Texas,Sterling,3921025.0
298,Texas,Colorado,3910267.0
299,Minnesota,Lake,3883982.0
300,Ohio,Jefferson,3878408.0
301,North Dakota,Ward,3873486.0
302,Alabama,Walker,3860547.0
303,Oklahoma,Payne,3855820.0
304,Pennsylvania,Clearfield,3831094.0
305,Kentucky,Floyd,3807745.0
306,Michigan,Wayne,3790519.0
307,Oklahoma,Latimer,3789585.0
308,Indiana,Knox,3788428.0
309,Texas,Hale,3784549.0
310,Texas,Hansford,3765596.0
311,Oklahoma,Osage,3765213.0
312,Texas,Williamson,3755933.0
313,Missouri,St. Louis County,3735527.0
314,Wyoming,Big Horn,3710153.0
315,Alabama,Escambia,3707568.0
316,Louisiana,Acadia,3681638.0
317,Montana,Big Horn,3659813.0
318,Louisiana,La Salle,3655690.0
319,Arkansas,Van Buren,3637735.0
320,Texas,Grayson,3605961.0
321,Ohio,Noble,3589333.0
322,West Virginia,Wayne,3561107.0
323,Georgia,Fulton,3546501.0
324,Ohio,Tuscarawas,3540864.0
325,Pennsylvania,McKean,3540503.0
326,Nevada,Pershing,3529138.0
327,Texas,Grimes,3512719.0
328,Utah,San Juan,3497057.0
329,Minnesota,Itasca,3398744.0
330,Virginia,Tazewell,3382806.0
331,West Virginia,Tyler,3377915.0
332,Texas,Lubbock,3368003.0
333,Colorado,Adams,3366597.0
334,Texas,Jim Hogg,3348318.0
335,West Virginia,Nicholas,3343812.0
336,Texas,King,3289401.0
337,Illinois,LaSalle,3284755.0
338,Texas,Nolan,3284500.0
339,Texas,Cherokee,3272948.0
340,Utah,Emery,3268760.0
341,Indiana,Sullivan,3223177.0
342,Colorado,Teller,3193580.0
343,California,Riverside,3151350.0
344,Idaho,Caribou,3113634.0
345,Texas,Willacy,3097940.0
346,Oklahoma,Grady,3069916.0
347,Texas,Orange,3065395.0
348,Texas,Tyler,3057645.0
349,Louisiana,Sabine,3042055.0
350,Texas,Houston,2991480.0
351,Ohio,Hancock,2985789.0
352,Texas,Wilson,2984362.0
353,Pennsylvania,Jefferson,2973489.0
354,Arkansas,Faulkner,2956500.0
355,Alabama,Conecuh,2946546.0
356,Texas,Sherman,2924949.0
357,West Virginia,Lewis,2920404.0
358,Texas,Stonewall,2912037.0
359,Arkansas,Pulaski,2890293.0
360,Texas,Maverick,2869550.0
361,Kentucky,Leslie,2826013.0
362,Mississippi,Choctaw,2814900.0
363,Texas,Van Zandt,2791873.0
